id,age,sexe,nivetud,poids,occup,qualif,freres_soeurs,clso,relig,trav_imp,trav_satisf,hard_rock,lecture_bd,peche_chasse,cuisine,bricol,cinema,sport,heures_tv
39,77,Femme,Derniere annee d'etudes primaires,1630.2745782,Retraite,Employe,3,Non,Pratiquant regulier,NA,NA,Non,Non,Non,Non,Non,Non,Non,3
40,56,Homme,Enseignement superieur y compris technique superieur,2196.2485333,Exerce une profession,Cadre,1,Oui,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Non,Non,3
41,54,Femme,Derniere annee d'etudes primaires,5605.9846219,Chomeur,Employe,9,Non,Appartenance sans pratique,NA,NA,Non,Non,Oui,Non,Non,Oui,Non,4
42,35,Homme,Enseignement technique ou professionnel court,8841.2960448,Exerce une profession,Ouvrier qualifie,8,Non,Ni croyance ni appartenance,Aussi important que le reste,Equilibre,Non,Non,Non,Non,Non,Non,Non,3
43,40,Homme,Enseignement superieur y compris technique superieur,9113.5378375,Exerce une profession,Cadre,3,Oui,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Oui,Oui,Non,Oui,0.4
44,62,Femme,NA,2267.5912103,Retraite,Cadre,2,Non,Pratiquant occasionnel,NA,NA,Non,Non,Non,Non,Non,Non,Oui,2
45,68,Femme,Derniere annee d'etudes primaires,7706.2943562,Retraite,NA,4,Non,Pratiquant regulier,NA,NA,Non,Non,Non,Non,Non,Non,Non,2
46,77,Homme,Derniere annee d'etudes primaires,2446.5111332,Retraite,Ouvrier qualifie,0,Non,NSP ou NVPR,NA,NA,Non,Non,Non,Non,Oui,Non,Non,2
47,39,Femme,Enseignement technique ou professionnel court,8118.2638664,Exerce une profession,Ouvrier specialise,12,Non,Pratiquant occasionnel,Peu important,Equilibre,Non,Non,Oui,Oui,Non,Non,Non,3
48,57,Femme,1er cycle,10751.503667,Au foyer,NA,6,Oui,Pratiquant regulier,NA,NA,Non,Non,Non,Oui,Non,Non,Non,3
49,43,Femme,Enseignement superieur y compris technique superieur,831.85990013,Exerce une profession,Employe,2,Oui,Pratiquant occasionnel,Aussi important que le reste,Equilibre,Non,Non,Non,Non,Non,Non,Non,2
50,34,Femme,Enseignement superieur y compris technique superieur,6591.6439827,Exerce une profession,Cadre,2,Non,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Non,Non,Non,0
51,60,Homme,Derniere annee d'etudes primaires,1936.8826314,Retraite,Profession intermediaire,2,Non,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Oui,Oui,Non,3
52,41,Femme,Enseignement technique ou professionnel court,834.38450919,Chomeur,Employe,1,Non,Ni croyance ni appartenance,NA,NA,Non,Non,Non,Oui,Non,Non,Non,3
53,54,Homme,Enseignement technique ou professionnel court,3432.5285806,Exerce une profession,Autre,3,Oui,Pratiquant regulier,Le plus important,Satisfaction,Non,Non,Non,Non,Non,Non,Non,2
54,23,Femme,Enseignement superieur y compris technique superieur,11354.893187,Au foyer,NA,1,Non,Pratiquant occasionnel,NA,NA,Non,Non,Non,Non,Non,Non,Non,3
55,26,Homme,Enseignement superieur y compris technique superieur,9292.9761965,Exerce une profession,Technicien,1,Oui,Rejet,Peu important,Insatisfaction,Non,Non,Non,Non,Non,Oui,Oui,1.4
56,23,Femme,Enseignement technique ou professionnel long,6344.1227179,Exerce une profession,Ouvrier specialise,1,Oui,Pratiquant occasionnel,Aussi important que le reste,Satisfaction,Non,Non,Non,Oui,Non,Non,Non,2
57,74,Femme,Derniere annee d'etudes primaires,4899.9403801,Retraite,NA,2,Non,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Non,Non,3
58,60,Femme,Enseignement superieur y compris technique superieur,4766.8652013,Au foyer,Cadre,3,Non,Pratiquant regulier,NA,NA,Non,Non,Non,Non,Oui,Oui,Oui,2
59,23,Homme,Enseignement technique ou professionnel long,3462.8120638,Chomeur,Employe,4,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Oui,Non,4
60,57,Femme,Enseignement superieur y compris technique superieur,23732.485295,Exerce une profession,NA,1,Non,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Oui,Non,Non,Non,0
61,55,Femme,Enseignement technique ou professionnel court,833.84283609,Chomeur,Employe,1,Non,Appartenance sans pratique,NA,NA,Non,Non,Non,Oui,Oui,Non,Oui,3
62,71,Homme,Derniere annee d'etudes primaires,8529.4402891,Retire des affaires,NA,5,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Oui,Non,Non,Oui,3
63,39,Homme,Enseignement technique ou professionnel court,3190.3679798,Exerce une profession,Ouvrier qualifie,0,Oui,Rejet,Aussi important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Non,Non,2
64,56,Homme,Derniere annee d'etudes primaires,2423.1051879,Exerce une profession,NA,8,Oui,Ni croyance ni appartenance,Moins important que le reste,Satisfaction,Non,Non,Non,Oui,Oui,Non,Non,2
65,54,Homme,1er cycle,5945.9929374,Exerce une profession,Ouvrier qualifie,2,Oui,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Non,Non,Non,4
66,27,Femme,Derniere annee d'etudes primaires,14991.865205,Exerce une profession,Employe,1,Non,Pratiquant occasionnel,Moins important que le reste,Equilibre,Non,Non,Non,Oui,Non,Oui,Oui,2
67,40,Homme,1er cycle,2062.1124328,Exerce une profession,Ouvrier qualifie,2,Oui,Ni croyance ni appartenance,Moins important que le reste,Equilibre,Non,Non,Non,Oui,Oui,Non,Non,4
68,42,Homme,Enseignement technique ou professionnel court,5702.0623481,Exerce une profession,Ouvrier qualifie,3,Non,Ni croyance ni appartenance,Aussi important que le reste,Insatisfaction,Non,Non,Oui,Non,Oui,Non,Non,3
69,44,Femme,1er cycle,20604.2642,Exerce une profession,Employe,8,Non,Ni croyance ni appartenance,Moins important que le reste,Equilibre,Non,Non,Oui,Non,Oui,Oui,Oui,0.4
70,41,Femme,2eme cycle,2634.486132,Au foyer,NA,5,Ne sait pas,Pratiquant regulier,NA,NA,Non,Non,Non,Oui,Non,Oui,Non,2
71,30,Homme,Enseignement technique ou professionnel long,13544.621236,Exerce une profession,Ouvrier qualifie,1,Non,Pratiquant occasionnel,Moins important que le reste,Satisfaction,Non,Non,Non,Oui,Non,Oui,Non,1.4
72,48,Homme,Enseignement technique ou professionnel court,4748.7727879,Exerce une profession,Ouvrier specialise,2,Non,Ni croyance ni appartenance,Moins important que le reste,Equilibre,Non,Non,Non,Non,Oui,Non,Non,1
73,59,Femme,Enseignement technique ou professionnel court,2348.3780944,Retraite,Employe,3,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Oui,Oui,Non,Oui,3
74,46,Femme,Enseignement technique ou professionnel court,3718.8389641,Exerce une profession,Employe,1,Non,Pratiquant occasionnel,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Non,Oui,Non,2
75,33,Femme,Enseignement technique ou professionnel court,3850.6089775,Exerce une profession,Employe,4,Oui,Ni croyance ni appartenance,Peu important,Insatisfaction,Non,Non,Non,Oui,Oui,Oui,Non,3
76,70,Femme,1er cycle,6571.5894976,Autre inactif,Ouvrier qualifie,5,Non,Pratiquant occasionnel,NA,NA,Non,Non,Non,Oui,Non,Non,Non,2
77,67,Homme,2eme cycle,3238.3203981,Retraite,Ouvrier qualifie,2,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Oui,Non,Non,3
78,75,Femme,Derniere annee d'etudes primaires,17333.254401,Retire des affaires,NA,2,Non,Pratiquant regulier,NA,NA,Non,Non,Non,Non,Non,Non,Non,1
79,22,Femme,Enseignement technique ou professionnel court,6168.5016721,Exerce une profession,Employe,3,Oui,Rejet,Moins important que le reste,Equilibre,Non,Non,Non,Oui,Oui,Oui,Oui,2
80,51,Femme,Enseignement superieur y compris technique superieur,7357.9291503,Exerce une profession,NA,4,Non,Pratiquant regulier,Aussi important que le reste,Satisfaction,Non,Oui,Non,Non,Oui,Oui,Non,0
81,41,Femme,Enseignement technique ou professionnel long,3909.5586416,Exerce une profession,Employe,6,Non,Ni croyance ni appartenance,Aussi important que le reste,Equilibre,Non,Oui,Non,Oui,Non,Oui,Non,5
82,53,Femme,Derniere annee d'etudes primaires,1514.0619163,Autre inactif,Employe,5,Non,NSP ou NVPR,NA,NA,Non,Non,Non,Oui,Oui,Non,Non,2
83,70,Femme,Derniere annee d'etudes primaires,2916.9254013,Retraite,Ouvrier qualifie,6,Non,Pratiquant regulier,NA,NA,Non,Non,Non,Non,Non,Non,Non,3
84,79,Homme,Enseignement superieur y compris technique superieur,3156.0822439,Retraite,Cadre,2,Oui,Pratiquant occasionnel,NA,NA,Non,Non,Non,Non,Oui,Non,Oui,4
85,31,Homme,Enseignement superieur y compris technique superieur,12404.579485,Exerce une profession,NA,3,Oui,Appartenance sans pratique,Aussi important que le reste,Satisfaction,Non,Non,Non,Oui,Oui,Oui,Oui,1
86,34,Femme,Enseignement superieur y compris technique superieur,2388.0114193,Exerce une profession,Cadre,0,Non,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Oui,Non,Oui,Non,0.4
87,72,Homme,1er cycle,6590.6384311,Retraite,Ouvrier qualifie,7,Oui,Pratiquant occasionnel,NA,NA,Non,Non,Non,Non,Oui,Non,Non,4
88,59,Homme,2eme cycle,2590.6093173,Exerce une profession,Cadre,2,Oui,Appartenance sans pratique,Aussi important que le reste,Satisfaction,Non,Non,Oui,Non,Oui,Non,Non,1
89,63,Homme,2eme cycle,2786.2966187,Retraite,Profession intermediaire,1,Non,Pratiquant occasionnel,NA,NA,Non,Non,Non,Oui,Oui,Non,Non,4
90,77,Homme,Enseignement superieur y compris technique superieur,7457.6718742,Retraite,Cadre,4,Oui,Pratiquant regulier,NA,NA,Non,Non,Non,Non,Oui,Non,Non,3
91,48,Homme,Enseignement superieur y compris technique superieur,11076.902565,Exerce une profession,Cadre,1,Oui,Pratiquant occasionnel,Moins important que le reste,Equilibre,Non,Non,Non,Non,Non,Oui,Non,0.6
92,25,Femme,Enseignement superieur y compris technique superieur,2841.471293,Exerce une profession,Cadre,1,Oui,Pratiquant occasionnel,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Non,Oui,Oui,2
93,62,Homme,Enseignement technique ou professionnel court,2422.1481886,Retraite,Ouvrier qualifie,10,Non,Appartenance sans pratique,NA,NA,Non,Non,Non,Oui,Oui,Non,Non,4
94,23,Femme,NA,4454.3318017,"Etudiant, eleve",NA,0,Oui,Pratiquant occasionnel,NA,NA,Non,Non,Non,Oui,Non,Oui,Oui,0
95,66,Femme,"A arrete ses etudes, avant la derniere annee d'etudes primaires",5581.5842046,Au foyer,NA,13,Oui,Pratiquant occasionnel,NA,NA,Non,Non,Non,Oui,Oui,Non,Non,6
96,90,Femme,Derniere annee d'etudes primaires,5875.0399515,Au foyer,Employe,7,Non,Pratiquant occasionnel,NA,NA,Non,Non,Non,Non,Non,Non,Non,4
97,43,Homme,Enseignement technique ou professionnel court,2064.0848518,Exerce une profession,Ouvrier qualifie,6,Oui,Appartenance sans pratique,Moins important que le reste,Equilibre,Non,Non,Oui,Non,Oui,Oui,Non,2
98,32,Homme,2eme cycle,827.70358497,Exerce une profession,Employe,1,Non,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Oui,Non,Oui,Oui,Oui,4
99,54,Femme,1er cycle,13405.104689,Au foyer,Ouvrier specialise,4,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Oui,Non,Non,Non,6
100,19,Femme,NA,2186.5404129,Exerce une profession,Employe,0,Oui,Appartenance sans pratique,Moins important que le reste,Equilibre,Non,Non,Non,Oui,Oui,Oui,Non,10
101,61,Femme,Enseignement technique ou professionnel court,22962.359595,Retraite,Cadre,1,Non,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Non,Non,4
102,57,Homme,Derniere annee d'etudes primaires,11268.555611,Exerce une profession,NA,0,Oui,Ni croyance ni appartenance,Moins important que le reste,Equilibre,Non,Non,Non,Oui,Oui,Non,Oui,1
103,54,Femme,Enseignement superieur y compris technique superieur,2032.2152459,Exerce une profession,Cadre,2,Oui,Pratiquant occasionnel,Le plus important,Insatisfaction,Non,Non,Non,Non,Oui,Oui,Non,2.9
104,31,Homme,Derniere annee d'etudes primaires,3173.0247807,Exerce une profession,Ouvrier specialise,8,Non,Ni croyance ni appartenance,Aussi important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Oui,Non,3
105,33,Homme,Enseignement technique ou professionnel court,10483.545365,Exerce une profession,Profession intermediaire,1,Oui,Ni croyance ni appartenance,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Oui,Oui,0
106,86,Femme,Derniere annee d'etudes primaires,2395.8295684,Au foyer,Ouvrier specialise,2,Non,Pratiquant occasionnel,NA,NA,Non,Non,Non,Oui,Non,Non,Non,5
107,84,Femme,Derniere annee d'etudes primaires,12265.608025,Retire des affaires,NA,3,Oui,Pratiquant occasionnel,NA,NA,Non,Non,Non,Non,Non,Non,Oui,4
108,74,Femme,Derniere annee d'etudes primaires,5844.3861908,Retraite,Employe,1,Non,Pratiquant occasionnel,NA,NA,Non,Non,Non,Non,Non,Non,Non,2
109,49,Femme,Enseignement superieur y compris technique superieur,1114.6495808,Exerce une profession,Cadre,1,Non,Pratiquant regulier,Moins important que le reste,Insatisfaction,Non,Oui,Non,Oui,Non,Oui,Oui,0.9
110,47,Homme,"A arrete ses etudes, avant la derniere annee d'etudes primaires",3172.9816534,Exerce une profession,Ouvrier qualifie,5,Non,Appartenance sans pratique,Aussi important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Non,Oui,3
111,25,Homme,NA,4631.1883707,"Etudiant, eleve",NA,2,Non,Ni croyance ni appartenance,NA,NA,Non,Non,Non,Non,Non,Oui,Non,0.6
112,52,Homme,Derniere annee d'etudes primaires,7194.1679264,Exerce une profession,Employe,1,Non,Appartenance sans pratique,Aussi important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Non,Oui,0
113,71,Homme,Enseignement superieur y compris technique superieur,3437.0885018,Retraite,Cadre,1,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Oui,Non,2
114,56,Homme,Enseignement technique ou professionnel long,1131.5935649,Exerce une profession,Technicien,2,Non,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Non,Non,2
115,58,Femme,Enseignement superieur y compris technique superieur,8463.9530279,Retraite,Profession intermediaire,0,Oui,Pratiquant occasionnel,NA,NA,Non,Non,Non,Non,Non,Oui,Oui,1
116,66,Homme,Enseignement technique ou professionnel court,15556.258457,Retire des affaires,NA,4,Non,Pratiquant regulier,NA,NA,Non,Non,Oui,Oui,Non,Non,Non,7
117,70,Homme,1er cycle,2662.0851625,Retraite,Employe,4,Oui,Pratiquant occasionnel,NA,NA,Non,Non,Non,Non,Oui,Non,Non,2
118,51,Femme,2eme cycle,8147.5534619,Au foyer,Profession intermediaire,0,Non,Pratiquant occasionnel,NA,NA,Non,Non,Oui,Oui,Non,Non,Non,2
119,54,Homme,1er cycle,1726.7500293,Exerce une profession,Autre,3,Non,Pratiquant occasionnel,Moins important que le reste,Equilibre,Non,Non,Non,Non,Non,Non,Non,1
120,73,Homme,Derniere annee d'etudes primaires,4921.9193061,Retraite,Ouvrier qualifie,1,Oui,Appartenance sans pratique,NA,NA,Non,Non,Oui,Non,Oui,Non,Non,0
121,35,Femme,Enseignement superieur y compris technique superieur,284.16067529,Exerce une profession,Profession intermediaire,4,Oui,Pratiquant occasionnel,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Oui,Oui,0.3
122,64,Femme,2eme cycle,3224.7313443,Retraite,Employe,3,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Oui,Non,4
123,51,Femme,2eme cycle,1483.7638269,Exerce une profession,Profession intermediaire,1,Non,Rejet,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Non,Oui,Non,5
124,68,Homme,Enseignement technique ou professionnel court,6341.8646922,Retire des affaires,NA,2,Non,Ni croyance ni appartenance,NA,NA,Non,Non,Non,Non,Non,Non,Non,3
125,42,Femme,2eme cycle,9516.1279765,Au foyer,Employe,3,Non,Pratiquant occasionnel,NA,NA,Non,Non,Non,Oui,Non,Oui,Oui,3
126,49,Femme,Enseignement technique ou professionnel court,7174.8094065,Exerce une profession,Ouvrier specialise,5,Oui,Ni croyance ni appartenance,Moins important que le reste,Equilibre,Non,Non,Non,Non,Non,Non,Non,6
127,55,Homme,Derniere annee d'etudes primaires,2954.2741141,Retraite,Employe,3,Non,Pratiquant occasionnel,NA,NA,Non,Non,Oui,Non,Non,Non,Non,0
128,49,Femme,Enseignement superieur y compris technique superieur,8819.3761214,Exerce une profession,Cadre,0,Oui,Pratiquant occasionnel,Moins important que le reste,Satisfaction,Non,Non,Non,Oui,Non,Oui,Non,1
129,60,Femme,Enseignement technique ou professionnel court,1117.1995998,Retraite,Employe,6,Oui,Pratiquant occasionnel,NA,NA,Non,Non,Non,Non,Non,Non,Non,2
130,71,Homme,Derniere annee d'etudes primaires,6721.4009251,Retraite,NA,5,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Non,Non,1
131,75,Femme,Derniere annee d'etudes primaires,7975.2185686,Retraite,Employe,3,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Non,Non,5
132,36,Homme,Enseignement superieur y compris technique superieur,9081.3158825,Exerce une profession,Cadre,2,Non,Ni croyance ni appartenance,Moins important que le reste,Equilibre,Non,Non,Non,Non,Non,Oui,Oui,1
133,78,Femme,Derniere annee d'etudes primaires,10783.410506,Retire des affaires,NA,3,Non,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Non,Non,0
134,19,Femme,NA,7444.4271463,"Etudiant, eleve",NA,1,Non,Ni croyance ni appartenance,NA,NA,Non,Non,Non,Non,Oui,Oui,Non,0
135,23,Femme,Enseignement superieur y compris technique superieur,5276.4551888,Chomeur,Employe,2,Oui,Ni croyance ni appartenance,NA,NA,Non,Oui,Non,Non,Non,Non,Non,3
136,81,Homme,2eme cycle,7736.5822775,Retire des affaires,NA,1,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Non,Oui,3
137,41,Homme,Enseignement superieur y compris technique superieur,8338.0487681,Exerce une profession,NA,1,Non,Ni croyance ni appartenance,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Non,Oui,Non,1
138,58,Homme,Enseignement technique ou professionnel court,7103.5008367,Exerce une profession,Profession intermediaire,2,Non,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Non,Non,Non,3
139,37,Homme,Enseignement technique ou professionnel court,608.57053352,Exerce une profession,Ouvrier qualifie,1,Oui,Ni croyance ni appartenance,Moins important que le reste,Equilibre,Non,Non,Oui,Non,Oui,Non,Oui,3
140,49,Homme,Enseignement technique ou professionnel court,660.95775681,Exerce une profession,Technicien,5,Non,Rejet,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Oui,Non,1
141,55,Homme,1er cycle,313.64341929,Exerce une profession,Ouvrier qualifie,6,Non,Appartenance sans pratique,Aussi important que le reste,Insatisfaction,Non,Non,Non,Oui,Oui,Non,Non,4
142,51,Homme,1er cycle,9668.3147768,Exerce une profession,Ouvrier qualifie,4,Non,Appartenance sans pratique,Aussi important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Non,Oui,3
143,58,Homme,Enseignement superieur y compris technique superieur,8222.2734873,Exerce une profession,Autre,7,Non,Pratiquant occasionnel,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Oui,Non,2
144,29,Femme,1er cycle,1847.1072902,Au foyer,Ouvrier specialise,6,Oui,Pratiquant occasionnel,NA,NA,Non,Non,Non,Oui,Non,Non,Non,2
145,47,Homme,Enseignement superieur y compris technique superieur,4264.9174359,Exerce une profession,Profession intermediaire,4,Non,Ni croyance ni appartenance,Peu important,Equilibre,Non,Non,Non,Non,Non,Oui,Oui,3
146,78,Homme,Derniere annee d'etudes primaires,5684.0566817,Retraite,Ouvrier specialise,4,Oui,Pratiquant occasionnel,NA,NA,Non,Non,Non,Non,Oui,Non,Non,5
