id;age;sexe;nivetud;poids;occup;qualif;freres_soeurs;clso;relig;trav_imp;trav_satisf;hard_rock;lecture_bd;peche_chasse;cuisine;bricol;cinema;sport;heures_tv
28;35;Homme;1er cycle;3359,46897990;Exerce une profession;Ouvrier specialise;6;Non;Ni croyance ni appartenance;Moins important que le reste;Equilibre;Non;Non;Oui;Non;Non;Non;Non;1,0
29;35;Homme;Enseignement technique ou professionnel court;8536,11006070;Exerce une profession;Ouvrier qualifie;2;Non;Appartenance sans pratique;Moins important que le reste;Equilibre;Non;Non;Non;Non;Oui;Non;Non;4,0
30;30;Homme;Enseignement technique ou professionnel court;10620,52590900;Exerce une profession;Ouvrier qualifie;1;Oui;Ni croyance ni appartenance;Aussi important que le reste;Satisfaction;Non;Non;Oui;Oui;Oui;Oui;Oui;3,0
31;54;Homme;Enseignement technique ou professionnel court;5264,29530570;Exerce une profession;Employe;2;Non;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Non;Non;0,0
32;29;Homme;Enseignement technique ou professionnel court;14161,75970900;Exerce une profession;Autre;2;Oui;Appartenance sans pratique;Moins important que le reste;Satisfaction;Oui;Non;Non;Oui;Oui;Oui;Non;1,0
33;49;Homme;A arrete ses etudes, avant la derniere annee d'etudes primaires;1339,61962520;Exerce une profession;NA;2;Oui;Appartenance sans pratique;Moins important que le reste;Equilibre;Non;Non;Oui;Non;Oui;Non;Non;1,0
34;59;Homme;A arrete ses etudes, avant la derniere annee d'etudes primaires;9243,91526140;Exerce une profession;NA;9;Non;Pratiquant occasionnel;Moins important que le reste;Satisfaction;Non;Oui;Non;Oui;Non;Non;Non;2,0
35;41;Femme;Enseignement technique ou professionnel court;4512,29590260;Chomeur;Ouvrier qualifie;2;Non;Pratiquant occasionnel;NA;NA;Non;Non;Non;Oui;Oui;Oui;Oui;2,0
36;41;Femme;1er cycle;7871,64519780;Exerce une profession;Employe;3;Oui;Rejet;Moins important que le reste;Insatisfaction;Non;Non;Non;Non;Non;Oui;Non;4,0
37;53;Homme;Enseignement technique ou professionnel court;1356,96207360;Exerce une profession;Ouvrier qualifie;0;Oui;Ni croyance ni appartenance;Moins important que le reste;Equilibre;Non;Non;Non;Non;Oui;Non;Oui;1,0
38;19;Femme;NA;7626,33003170;Etudiant, eleve;NA;1;Non;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Oui;Oui;2,0
39;77;Femme;Derniere annee d'etudes primaires;1630,27457820;Retraite;Employe;3;Non;Pratiquant regulier;NA;NA;Non;Non;Non;Non;Non;Non;Non;3,0
40;56;Homme;Enseignement superieur y compris technique superieur;2196,24853330;Exerce une profession;Cadre;1;Oui;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Non;Non;3,0
41;54;Femme;Derniere annee d'etudes primaires;5605,98462190;Chomeur;Employe;9;Non;Appartenance sans pratique;NA;NA;Non;Non;Oui;Non;Non;Oui;Non;4,0
42;35;Homme;Enseignement technique ou professionnel court;8841,29604480;Exerce une profession;Ouvrier qualifie;8;Non;Ni croyance ni appartenance;Aussi important que le reste;Equilibre;Non;Non;Non;Non;Non;Non;Non;3,0
43;40;Homme;Enseignement superieur y compris technique superieur;9113,53783750;Exerce une profession;Cadre;3;Oui;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Oui;Oui;Non;Oui;0,4
44;62;Femme;NA;2267,59121030;Retraite;Cadre;2;Non;Pratiquant occasionnel;NA;NA;Non;Non;Non;Non;Non;Non;Oui;2,0
45;68;Femme;Derniere annee d'etudes primaires;7706,29435620;Retraite;NA;4;Non;Pratiquant regulier;NA;NA;Non;Non;Non;Non;Non;Non;Non;2,0
46;77;Homme;Derniere annee d'etudes primaires;2446,51113320;Retraite;Ouvrier qualifie;0;Non;NSP ou NVPR;NA;NA;Non;Non;Non;Non;Oui;Non;Non;2,0
47;39;Femme;Enseignement technique ou professionnel court;8118,26386640;Exerce une profession;Ouvrier specialise;12;Non;Pratiquant occasionnel;Peu important;Equilibre;Non;Non;Oui;Oui;Non;Non;Non;3,0
48;57;Femme;1er cycle;10751,50366700;Au foyer;NA;6;Oui;Pratiquant regulier;NA;NA;Non;Non;Non;Oui;Non;Non;Non;3,0
49;43;Femme;Enseignement superieur y compris technique superieur;831,85990013;Exerce une profession;Employe;2;Oui;Pratiquant occasionnel;Aussi important que le reste;Equilibre;Non;Non;Non;Non;Non;Non;Non;2,0
50;34;Femme;Enseignement superieur y compris technique superieur;6591,64398270;Exerce une profession;Cadre;2;Non;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Non;Non;Non;0,0
51;60;Homme;Derniere annee d'etudes primaires;1936,88263140;Retraite;Profession intermediaire;2;Non;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Oui;Oui;Non;3,0
52;41;Femme;Enseignement technique ou professionnel court;834,38450919;Chomeur;Employe;1;Non;Ni croyance ni appartenance;NA;NA;Non;Non;Non;Oui;Non;Non;Non;3,0
53;54;Homme;Enseignement technique ou professionnel court;3432,52858060;Exerce une profession;Autre;3;Oui;Pratiquant regulier;Le plus important;Satisfaction;Non;Non;Non;Non;Non;Non;Non;2,0
54;23;Femme;Enseignement superieur y compris technique superieur;11354,89318700;Au foyer;NA;1;Non;Pratiquant occasionnel;NA;NA;Non;Non;Non;Non;Non;Non;Non;3,0
55;26;Homme;Enseignement superieur y compris technique superieur;9292,97619650;Exerce une profession;Technicien;1;Oui;Rejet;Peu important;Insatisfaction;Non;Non;Non;Non;Non;Oui;Oui;1,4
56;23;Femme;Enseignement technique ou professionnel long;6344,12271790;Exerce une profession;Ouvrier specialise;1;Oui;Pratiquant occasionnel;Aussi important que le reste;Satisfaction;Non;Non;Non;Oui;Non;Non;Non;2,0
57;74;Femme;Derniere annee d'etudes primaires;4899,94038010;Retraite;NA;2;Non;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Non;Non;3,0
58;60;Femme;Enseignement superieur y compris technique superieur;4766,86520130;Au foyer;Cadre;3;Non;Pratiquant regulier;NA;NA;Non;Non;Non;Non;Oui;Oui;Oui;2,0
59;23;Homme;Enseignement technique ou professionnel long;3462,81206380;Chomeur;Employe;4;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Oui;Non;4,0
60;57;Femme;Enseignement superieur y compris technique superieur;23732,48529500;Exerce une profession;NA;1;Non;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Oui;Non;Non;Non;0,0
61;55;Femme;Enseignement technique ou professionnel court;833,84283609;Chomeur;Employe;1;Non;Appartenance sans pratique;NA;NA;Non;Non;Non;Oui;Oui;Non;Oui;3,0
62;71;Homme;Derniere annee d'etudes primaires;8529,44028910;Retire des affaires;NA;5;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Oui;Non;Non;Oui;3,0
63;39;Homme;Enseignement technique ou professionnel court;3190,36797980;Exerce une profession;Ouvrier qualifie;0;Oui;Rejet;Aussi important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Non;Non;2,0
64;56;Homme;Derniere annee d'etudes primaires;2423,10518790;Exerce une profession;NA;8;Oui;Ni croyance ni appartenance;Moins important que le reste;Satisfaction;Non;Non;Non;Oui;Oui;Non;Non;2,0
65;54;Homme;1er cycle;5945,99293740;Exerce une profession;Ouvrier qualifie;2;Oui;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Non;Non;Non;4,0
66;27;Femme;Derniere annee d'etudes primaires;14991,86520500;Exerce une profession;Employe;1;Non;Pratiquant occasionnel;Moins important que le reste;Equilibre;Non;Non;Non;Oui;Non;Oui;Oui;2,0
67;40;Homme;1er cycle;2062,11243280;Exerce une profession;Ouvrier qualifie;2;Oui;Ni croyance ni appartenance;Moins important que le reste;Equilibre;Non;Non;Non;Oui;Oui;Non;Non;4,0
68;42;Homme;Enseignement technique ou professionnel court;5702,06234810;Exerce une profession;Ouvrier qualifie;3;Non;Ni croyance ni appartenance;Aussi important que le reste;Insatisfaction;Non;Non;Oui;Non;Oui;Non;Non;3,0
69;44;Femme;1er cycle;20604,26420000;Exerce une profession;Employe;8;Non;Ni croyance ni appartenance;Moins important que le reste;Equilibre;Non;Non;Oui;Non;Oui;Oui;Oui;0,4
70;41;Femme;2eme cycle;2634,48613200;Au foyer;NA;5;Ne sait pas;Pratiquant regulier;NA;NA;Non;Non;Non;Oui;Non;Oui;Non;2,0
71;30;Homme;Enseignement technique ou professionnel long;13544,62123600;Exerce une profession;Ouvrier qualifie;1;Non;Pratiquant occasionnel;Moins important que le reste;Satisfaction;Non;Non;Non;Oui;Non;Oui;Non;1,4
72;48;Homme;Enseignement technique ou professionnel court;4748,77278790;Exerce une profession;Ouvrier specialise;2;Non;Ni croyance ni appartenance;Moins important que le reste;Equilibre;Non;Non;Non;Non;Oui;Non;Non;1,0
73;59;Femme;Enseignement technique ou professionnel court;2348,37809440;Retraite;Employe;3;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Oui;Oui;Non;Oui;3,0
74;46;Femme;Enseignement technique ou professionnel court;3718,83896410;Exerce une profession;Employe;1;Non;Pratiquant occasionnel;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Non;Oui;Non;2,0
75;33;Femme;Enseignement technique ou professionnel court;3850,60897750;Exerce une profession;Employe;4;Oui;Ni croyance ni appartenance;Peu important;Insatisfaction;Non;Non;Non;Oui;Oui;Oui;Non;3,0
76;70;Femme;1er cycle;6571,58949760;Autre inactif;Ouvrier qualifie;5;Non;Pratiquant occasionnel;NA;NA;Non;Non;Non;Oui;Non;Non;Non;2,0
77;67;Homme;2eme cycle;3238,32039810;Retraite;Ouvrier qualifie;2;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Oui;Non;Non;3,0
78;75;Femme;Derniere annee d'etudes primaires;17333,25440100;Retire des affaires;NA;2;Non;Pratiquant regulier;NA;NA;Non;Non;Non;Non;Non;Non;Non;1,0
79;22;Femme;Enseignement technique ou professionnel court;6168,50167210;Exerce une profession;Employe;3;Oui;Rejet;Moins important que le reste;Equilibre;Non;Non;Non;Oui;Oui;Oui;Oui;2,0
80;51;Femme;Enseignement superieur y compris technique superieur;7357,92915030;Exerce une profession;NA;4;Non;Pratiquant regulier;Aussi important que le reste;Satisfaction;Non;Oui;Non;Non;Oui;Oui;Non;0,0
81;41;Femme;Enseignement technique ou professionnel long;3909,55864160;Exerce une profession;Employe;6;Non;Ni croyance ni appartenance;Aussi important que le reste;Equilibre;Non;Oui;Non;Oui;Non;Oui;Non;5,0
82;53;Femme;Derniere annee d'etudes primaires;1514,06191630;Autre inactif;Employe;5;Non;NSP ou NVPR;NA;NA;Non;Non;Non;Oui;Oui;Non;Non;2,0
83;70;Femme;Derniere annee d'etudes primaires;2916,92540130;Retraite;Ouvrier qualifie;6;Non;Pratiquant regulier;NA;NA;Non;Non;Non;Non;Non;Non;Non;3,0
84;79;Homme;Enseignement superieur y compris technique superieur;3156,08224390;Retraite;Cadre;2;Oui;Pratiquant occasionnel;NA;NA;Non;Non;Non;Non;Oui;Non;Oui;4,0
85;31;Homme;Enseignement superieur y compris technique superieur;12404,57948500;Exerce une profession;NA;3;Oui;Appartenance sans pratique;Aussi important que le reste;Satisfaction;Non;Non;Non;Oui;Oui;Oui;Oui;1,0
86;34;Femme;Enseignement superieur y compris technique superieur;2388,01141930;Exerce une profession;Cadre;0;Non;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Oui;Non;Oui;Non;0,4
87;72;Homme;1er cycle;6590,63843110;Retraite;Ouvrier qualifie;7;Oui;Pratiquant occasionnel;NA;NA;Non;Non;Non;Non;Oui;Non;Non;4,0
88;59;Homme;2eme cycle;2590,60931730;Exerce une profession;Cadre;2;Oui;Appartenance sans pratique;Aussi important que le reste;Satisfaction;Non;Non;Oui;Non;Oui;Non;Non;1,0
89;63;Homme;2eme cycle;2786,29661870;Retraite;Profession intermediaire;1;Non;Pratiquant occasionnel;NA;NA;Non;Non;Non;Oui;Oui;Non;Non;4,0
90;77;Homme;Enseignement superieur y compris technique superieur;7457,67187420;Retraite;Cadre;4;Oui;Pratiquant regulier;NA;NA;Non;Non;Non;Non;Oui;Non;Non;3,0
91;48;Homme;Enseignement superieur y compris technique superieur;11076,90256500;Exerce une profession;Cadre;1;Oui;Pratiquant occasionnel;Moins important que le reste;Equilibre;Non;Non;Non;Non;Non;Oui;Non;0,6
92;25;Femme;Enseignement superieur y compris technique superieur;2841,47129300;Exerce une profession;Cadre;1;Oui;Pratiquant occasionnel;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Non;Oui;Oui;2,0
93;62;Homme;Enseignement technique ou professionnel court;2422,14818860;Retraite;Ouvrier qualifie;10;Non;Appartenance sans pratique;NA;NA;Non;Non;Non;Oui;Oui;Non;Non;4,0
94;23;Femme;NA;4454,33180170;Etudiant, eleve;NA;0;Oui;Pratiquant occasionnel;NA;NA;Non;Non;Non;Oui;Non;Oui;Oui;0,0
95;66;Femme;A arrete ses etudes, avant la derniere annee d'etudes primaires;5581,58420460;Au foyer;NA;13;Oui;Pratiquant occasionnel;NA;NA;Non;Non;Non;Oui;Oui;Non;Non;6,0
96;90;Femme;Derniere annee d'etudes primaires;5875,03995150;Au foyer;Employe;7;Non;Pratiquant occasionnel;NA;NA;Non;Non;Non;Non;Non;Non;Non;4,0
97;43;Homme;Enseignement technique ou professionnel court;2064,08485180;Exerce une profession;Ouvrier qualifie;6;Oui;Appartenance sans pratique;Moins important que le reste;Equilibre;Non;Non;Oui;Non;Oui;Oui;Non;2,0
98;32;Homme;2eme cycle;827,70358497;Exerce une profession;Employe;1;Non;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Oui;Non;Oui;Oui;Oui;4,0
99;54;Femme;1er cycle;13405,10468900;Au foyer;Ouvrier specialise;4;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Oui;Non;Non;Non;6,0
100;19;Femme;NA;2186,54041290;Exerce une profession;Employe;0;Oui;Appartenance sans pratique;Moins important que le reste;Equilibre;Non;Non;Non;Oui;Oui;Oui;Non;10,0
101;61;Femme;Enseignement technique ou professionnel court;22962,35959500;Retraite;Cadre;1;Non;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Non;Non;4,0
102;57;Homme;Derniere annee d'etudes primaires;11268,55561100;Exerce une profession;NA;0;Oui;Ni croyance ni appartenance;Moins important que le reste;Equilibre;Non;Non;Non;Oui;Oui;Non;Oui;1,0
103;54;Femme;Enseignement superieur y compris technique superieur;2032,21524590;Exerce une profession;Cadre;2;Oui;Pratiquant occasionnel;Le plus important;Insatisfaction;Non;Non;Non;Non;Oui;Oui;Non;2,9
104;31;Homme;Derniere annee d'etudes primaires;3173,02478070;Exerce une profession;Ouvrier specialise;8;Non;Ni croyance ni appartenance;Aussi important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Oui;Non;3,0
105;33;Homme;Enseignement technique ou professionnel court;10483,54536500;Exerce une profession;Profession intermediaire;1;Oui;Ni croyance ni appartenance;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Oui;Oui;0,0
106;86;Femme;Derniere annee d'etudes primaires;2395,82956840;Au foyer;Ouvrier specialise;2;Non;Pratiquant occasionnel;NA;NA;Non;Non;Non;Oui;Non;Non;Non;5,0
107;84;Femme;Derniere annee d'etudes primaires;12265,60802500;Retire des affaires;NA;3;Oui;Pratiquant occasionnel;NA;NA;Non;Non;Non;Non;Non;Non;Oui;4,0
108;74;Femme;Derniere annee d'etudes primaires;5844,38619080;Retraite;Employe;1;Non;Pratiquant occasionnel;NA;NA;Non;Non;Non;Non;Non;Non;Non;2,0
109;49;Femme;Enseignement superieur y compris technique superieur;1114,64958080;Exerce une profession;Cadre;1;Non;Pratiquant regulier;Moins important que le reste;Insatisfaction;Non;Oui;Non;Oui;Non;Oui;Oui;0,9
110;47;Homme;A arrete ses etudes, avant la derniere annee d'etudes primaires;3172,98165340;Exerce une profession;Ouvrier qualifie;5;Non;Appartenance sans pratique;Aussi important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Non;Oui;3,0
111;25;Homme;NA;4631,18837070;Etudiant, eleve;NA;2;Non;Ni croyance ni appartenance;NA;NA;Non;Non;Non;Non;Non;Oui;Non;0,6
112;52;Homme;Derniere annee d'etudes primaires;7194,16792640;Exerce une profession;Employe;1;Non;Appartenance sans pratique;Aussi important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Non;Oui;0,0
113;71;Homme;Enseignement superieur y compris technique superieur;3437,08850180;Retraite;Cadre;1;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Oui;Non;2,0
114;56;Homme;Enseignement technique ou professionnel long;1131,59356490;Exerce une profession;Technicien;2;Non;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Non;Non;2,0
115;58;Femme;Enseignement superieur y compris technique superieur;8463,95302790;Retraite;Profession intermediaire;0;Oui;Pratiquant occasionnel;NA;NA;Non;Non;Non;Non;Non;Oui;Oui;1,0
116;66;Homme;Enseignement technique ou professionnel court;15556,25845700;Retire des affaires;NA;4;Non;Pratiquant regulier;NA;NA;Non;Non;Oui;Oui;Non;Non;Non;7,0
117;70;Homme;1er cycle;2662,08516250;Retraite;Employe;4;Oui;Pratiquant occasionnel;NA;NA;Non;Non;Non;Non;Oui;Non;Non;2,0
118;51;Femme;2eme cycle;8147,55346190;Au foyer;Profession intermediaire;0;Non;Pratiquant occasionnel;NA;NA;Non;Non;Oui;Oui;Non;Non;Non;2,0
119;54;Homme;1er cycle;1726,75002930;Exerce une profession;Autre;3;Non;Pratiquant occasionnel;Moins important que le reste;Equilibre;Non;Non;Non;Non;Non;Non;Non;1,0
120;73;Homme;Derniere annee d'etudes primaires;4921,91930610;Retraite;Ouvrier qualifie;1;Oui;Appartenance sans pratique;NA;NA;Non;Non;Oui;Non;Oui;Non;Non;0,0
121;35;Femme;Enseignement superieur y compris technique superieur;284,16067529;Exerce une profession;Profession intermediaire;4;Oui;Pratiquant occasionnel;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Oui;Oui;0,3
122;64;Femme;2eme cycle;3224,73134430;Retraite;Employe;3;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Oui;Non;4,0
123;51;Femme;2eme cycle;1483,76382690;Exerce une profession;Profession intermediaire;1;Non;Rejet;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Non;Oui;Non;5,0
124;68;Homme;Enseignement technique ou professionnel court;6341,86469220;Retire des affaires;NA;2;Non;Ni croyance ni appartenance;NA;NA;Non;Non;Non;Non;Non;Non;Non;3,0
125;42;Femme;2eme cycle;9516,12797650;Au foyer;Employe;3;Non;Pratiquant occasionnel;NA;NA;Non;Non;Non;Oui;Non;Oui;Oui;3,0
126;49;Femme;Enseignement technique ou professionnel court;7174,80940650;Exerce une profession;Ouvrier specialise;5;Oui;Ni croyance ni appartenance;Moins important que le reste;Equilibre;Non;Non;Non;Non;Non;Non;Non;6,0
127;55;Homme;Derniere annee d'etudes primaires;2954,27411410;Retraite;Employe;3;Non;Pratiquant occasionnel;NA;NA;Non;Non;Oui;Non;Non;Non;Non;0,0
128;49;Femme;Enseignement superieur y compris technique superieur;8819,37612140;Exerce une profession;Cadre;0;Oui;Pratiquant occasionnel;Moins important que le reste;Satisfaction;Non;Non;Non;Oui;Non;Oui;Non;1,0
129;60;Femme;Enseignement technique ou professionnel court;1117,19959980;Retraite;Employe;6;Oui;Pratiquant occasionnel;NA;NA;Non;Non;Non;Non;Non;Non;Non;2,0
130;71;Homme;Derniere annee d'etudes primaires;6721,40092510;Retraite;NA;5;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Non;Non;1,0
131;75;Femme;Derniere annee d'etudes primaires;7975,21856860;Retraite;Employe;3;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Non;Non;5,0
132;36;Homme;Enseignement superieur y compris technique superieur;9081,31588250;Exerce une profession;Cadre;2;Non;Ni croyance ni appartenance;Moins important que le reste;Equilibre;Non;Non;Non;Non;Non;Oui;Oui;1,0
133;78;Femme;Derniere annee d'etudes primaires;10783,41050600;Retire des affaires;NA;3;Non;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Non;Non;0,0
134;19;Femme;NA;7444,42714630;Etudiant, eleve;NA;1;Non;Ni croyance ni appartenance;NA;NA;Non;Non;Non;Non;Oui;Oui;Non;0,0
135;23;Femme;Enseignement superieur y compris technique superieur;5276,45518880;Chomeur;Employe;2;Oui;Ni croyance ni appartenance;NA;NA;Non;Oui;Non;Non;Non;Non;Non;3,0
136;81;Homme;2eme cycle;7736,58227750;Retire des affaires;NA;1;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Non;Oui;3,0
137;41;Homme;Enseignement superieur y compris technique superieur;8338,04876810;Exerce une profession;NA;1;Non;Ni croyance ni appartenance;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Non;Oui;Non;1,0
138;58;Homme;Enseignement technique ou professionnel court;7103,50083670;Exerce une profession;Profession intermediaire;2;Non;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Non;Non;Non;3,0
139;37;Homme;Enseignement technique ou professionnel court;608,57053352;Exerce une profession;Ouvrier qualifie;1;Oui;Ni croyance ni appartenance;Moins important que le reste;Equilibre;Non;Non;Oui;Non;Oui;Non;Oui;3,0
140;49;Homme;Enseignement technique ou professionnel court;660,95775681;Exerce une profession;Technicien;5;Non;Rejet;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Oui;Non;1,0
141;55;Homme;1er cycle;313,64341929;Exerce une profession;Ouvrier qualifie;6;Non;Appartenance sans pratique;Aussi important que le reste;Insatisfaction;Non;Non;Non;Oui;Oui;Non;Non;4,0
142;51;Homme;1er cycle;9668,31477680;Exerce une profession;Ouvrier qualifie;4;Non;Appartenance sans pratique;Aussi important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Non;Oui;3,0
143;58;Homme;Enseignement superieur y compris technique superieur;8222,27348730;Exerce une profession;Autre;7;Non;Pratiquant occasionnel;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Oui;Non;2,0
