faa;name;lat;lon;alt;tz;dst;tzone
9G1;Rock Airport;40,6035463000000;-79,826118900000;1063;-5;A;America/New_York
A39;Phoenix Regional Airport;32,9916992187500;-111,920997619629;1300;-7;A;America/Phoenix
A50;Colorado Springs East;38,8700000000000;-104,410000000000;6145;-7;A;America/Denver
AAF;Apalachicola Regional Airport;29,7276066000000;-85,027441600000;20;-5;A;America/New_York
AAP;Andrau Airport;29,4300000000000;-95,350000000000;80;-6;A;America/Chicago
ABE;Lehigh Valley Intl;40,6520830000000;-75,440806000000;393;-5;A;America/New_York
ABI;Abilene Rgnl;32,4113190000000;-99,681897000000;1791;-6;A;America/Chicago
ABL;Ambler Airport;67,1063890000000;-157,857500000000;334;-9;A;America/Anchorage
ABQ;Albuquerque International Sunport;35,0402222000000;-106,609194400000;5355;-7;A;America/Denver
ABR;Aberdeen Regional Airport;45,4491000000000;-98,421800000000;1302;-6;A;America/Chicago
ABY;Southwest Georgia Regional Airport;31,5355000000000;-84,194500000000;197;-5;A;America/New_York
ACJ;Jimmy Carter Regional;32,0665000000000;-84,113300000000;468;-5;A;America/New_York
ACK;Nantucket Mem;41,2530530000000;-70,060181000000;48;-5;A;America/New_York
ACT;Waco Rgnl;31,6112890000000;-97,230519000000;516;-6;A;America/Chicago
ACV;Arcata;40,9781110000000;-124,108611000000;221;-8;A;America/Los_Angeles
ACY;Atlantic City Intl;39,4575830000000;-74,577167000000;75;-5;A;America/New_York
ADK;Adak Airport;51,8780000000000;-176,646000000000;18;-9;A;America/Anchorage
ADM;Ardmore Muni;34,3008330000000;-97,008889000000;762;-6;A;America/Chicago
ADQ;Kodiak;57,7499670000000;-152,493856000000;78;-9;A;America/Anchorage
ADS;Addison;32,9685594000000;-96,836447800000;644;-6;A;America/Chicago
ADW;Andrews Afb;38,8108060000000;-76,867028000000;280;-5;A;America/New_York
AET;Allakaket Airport;66,5519000000000;-152,622200000000;441;-9;A;America/Anchorage
AEX;Alexandria Intl;31,3274000000000;-92,549833000000;89;-6;A;America/Chicago
AFE;Kake Airport;56,9613890000000;-133,910278000000;172;-9;A;America/Anchorage
AFW;Fort Worth Alliance Airport;32,9877780000000;-97,318889000000;722;-6;A;America/Chicago
AGC;Allegheny County Airport;40,3544000000000;-79,930200000000;1252;-5;A;America/New_York
AGN;Angoon Seaplane Base;57,5036110000000;-134,585000000000;0;-9;A;America/Anchorage
AGS;Augusta Rgnl At Bush Fld;33,3699440000000;-81,964500000000;144;-5;A;America/New_York
AHN;Athens Ben Epps Airport;33,9486000000000;-83,326300000000;808;-5;A;America/New_York
AIA;Alliance Municipal Airport;42,0533330000000;-102,803889000000;3931;-7;A;America/Denver
AIK;Municipal Airport;33,6493889000000;-81,685027800000;529;-5;A;America/New_York
AIN;Wainwright Airport;70,6380560000000;-159,994722000000;41;-9;A;America/Anchorage
AIZ;Lee C Fine Memorial Airport;38,0960350000000;-92,549487500000;869;-6;A;America/Chicago
AKB;Atka Airport;52,2202780000000;-174,206389000000;56;-9;A;America/Anchorage
AKC;Akron Fulton Intl;41,0375000000000;-81,466917000000;1067;-5;A;America/New_York
AKI;Akiak Airport;60,9027780000000;-161,230556000000;30;-9;A;America/Anchorage
AKK;Akhiok Airport;56,9386110000000;-154,182500000000;44;-9;A;America/Anchorage
AKN;King Salmon;58,6767780000000;-156,649278000000;68;-9;A;America/Anchorage
AKP;Anaktuvuk Pass Airport;68,1336000000000;-151,743000000000;2103;-9;A;America/Anchorage
ALB;Albany Intl;42,7482670000000;-73,801692000000;285;-5;A;America/New_York
ALI;Alice Intl;27,7408890000000;-98,026944000000;178;-6;A;America/Chicago
ALM;Alamogordo White Sands Regional Airport;32,8399000000000;-105,991000000000;4200;-7;A;America/Denver
ALO;Waterloo Regional Airport;42,5571000000000;-92,400300000000;873;-6;A;America/Chicago
ALS;San Luis Valley Regional Airport;37,4350000000000;-105,866667000000;7539;-7;A;America/Denver
ALW;Walla Walla Regional Airport;46,0949000000000;-118,288000000000;1191;-8;A;America/Los_Angeles
ALX;Alexandria;38,8063460000000;-77,062100000000;1;-5;A;America/New_York
ALZ;Alitak Seaplane Base;56,8994440000000;-154,247778000000;0;-9;A;America/Anchorage
AMA;Rick Husband Amarillo Intl;35,2193690000000;-101,705931000000;3607;-6;A;America/Chicago
ANB;Anniston Metro;33,5881670000000;-85,858111000000;612;-6;A;America/Chicago
ANC;Ted Stevens Anchorage Intl;61,1743610000000;-149,996361000000;152;-9;A;America/Anchorage
AND;Anderson Rgnl;34,4945830000000;-82,709389000000;782;-5;A;America/New_York
ANI;Aniak Airport;61,5816000000000;-159,543000000000;88;-9;A;America/Anchorage
ANN;Annette Island;55,0424360000000;-131,572233000000;119;-9;A;America/Anchorage
ANP;Lee Airport;38,9427780000000;-76,568333000000;34;-5;A;America/New_York
ANQ;Tri-State Steuben County Airport;41,6396983000000;-85,083493300000;995;-5;A;America/New_York
ANV;Anvik Airport;62,6467000000000;-160,191000000000;309;-9;A;America/Anchorage
AOH;Lima Allen County Airport;40,7074780000000;-84,027078100000;975;-5;A;America/New_York
AOO;Altoona Blair Co;40,2963720000000;-78,320022000000;1504;-5;A;America/New_York
AOS;Amook Bay Seaplane Base;57,4713890000000;-153,815278000000;0;-9;A;America/Anchorage
APA;Centennial;39,5701290000000;-104,849294000000;5883;-7;A;America/Denver
APC;Napa County Airport;38,2131944000000;-122,280694400000;35;-8;A;America/Los_Angeles
APF;Naples Muni;26,1526190000000;-81,775294000000;8;-5;A;America/New_York
APG;Phillips Aaf;39,4662190000000;-76,168808000000;57;-5;A;America/New_York
APN;Alpena County Regional Airport;45,0781000000000;-83,560300000000;689;-5;A;America/New_York
AQC;Klawock Seaplane Base;55,5546580000000;-133,101693000000;0;-9;A;America/Anchorage
ARA;Acadiana Rgnl;30,0377580000000;-91,883896000000;24;-6;A;America/Chicago
ARB;Ann Arbor Municipal Airport;42,1322740000000;-83,444418000000;839;-5;A;America/New_York
ARC;Arctic Village Airport;68,1147000000000;-145,579000000000;2092;-9;A;America/Anchorage
ART;Watertown Intl;43,9919220000000;-76,021739000000;325;-5;A;America/New_York
ARV;Lakeland;45,9277780000000;-89,730833000000;1629;-6;A;America/Chicago
ASE;Aspen Pitkin County Sardy Field;39,2232000000000;-106,869000000000;7820;-7;A;America/Denver
ASH;Boire Field Airport;42,7817500000000;-71,514777800000;199;-5;A;America/New_York
AST;Astoria Regional Airport;46,1579720000000;-123,878694000000;15;-8;A;America/Los_Angeles
ATK;Atqasuk Edward Burnell Sr Memorial Airport;70,4673000000000;-157,436000000000;96;-9;A;America/Anchorage
ATL;Hartsfield Jackson Atlanta Intl;33,6367190000000;-84,428067000000;1026;-5;A;America/New_York
ATT;Camp Mabry Austin City;30,3166600000000;-97,766600000000;0;-6;A;America/Chicago
ATW;Appleton;44,2575260000000;-88,507576000000;680;-6;A;America/Chicago
ATY;Watertown Regional Airport;44,9140000000000;-97,154700000000;1748;-6;A;America/Chicago
AUG;Augusta State;44,3206470000000;-69,797317000000;352;-5;A;America/New_York
AUK;Alakanuk Airport;62,6800000000000;-164,660000000000;10;-9;A;America/Anchorage
AUO;Auburn University Regional;32,3691000000000;-85,260400000000;777;-6;A;America/Chicago
AUS;Austin Bergstrom Intl;30,1945280000000;-97,669889000000;542;-6;A;America/Chicago
AUW;Wausau Downtown Airport;44,9262845000000;-89,627001800000;1201;-6;U;America/Chicago
AVL;Asheville Regional Airport;35,4361940000000;-82,541806000000;2165;-5;A;America/New_York
AVO;Executive;27,5913890000000;-81,528889000000;160;-5;A;America/New_York
AVP;Wilkes Barre Scranton Intl;41,3384780000000;-75,723403000000;962;-5;A;America/New_York
AVW;Marana Regional;32,4095560000000;-111,218388000000;2031;-7;U;America/Phoenix
AVX;Avalon;33,4050000000000;-118,415833000000;1602;-8;A;America/Los_Angeles
AZA;Phoenix-Mesa Gateway;33,3078330000000;-111,655000000000;1382;-7;N;America/Phoenix
AZO;Kalamazoo;42,2348750000000;-85,552058000000;874;-5;A;America/New_York
BAB;Beale Afb;39,1360890000000;-121,436567000000;113;-8;A;America/Los_Angeles
BAD;Barksdale Afb;32,5018200000000;-93,662674000000;166;-6;A;America/Chicago
BAF;Barnes Municipal;42,1579472000000;-72,715875000000;270;-5;A;America/New_York
BBX;Wings Field;40,1375000000000;-75,265000000000;302;-5;A;America/New_York
BCE;Bryce Canyon;37,7064440000000;-112,145806000000;7590;-7;A;America/Denver
BCT;Boca Raton;26,3785000000000;-80,107694000000;13;-5;A;America/New_York
BDE;Baudette Intl;48,7284440000000;-94,612222000000;1086;-6;A;America/Chicago
BDL;Bradley Intl;41,9388890000000;-72,683222000000;173;-5;A;America/New_York
BDR;Igor I Sikorsky Mem;41,1634720000000;-73,126167000000;9;-5;A;America/New_York
BEC;Beech Factory Airport;37,6939167000000;-97,214916700000;1409;-6;A;America/Chicago
BED;Laurence G Hanscom Fld;42,4699530000000;-71,289031000000;133;-5;A;America/New_York
BEH;Southwest Michigan Regional Airport;42,1285833000000;-86,428500000000;643;-5;A;America/New_York
BET;Bethel;60,7797780000000;-161,838000000000;121;-9;A;America/Anchorage
BFD;Bradford Regional Airport;41,8031000000000;-78,640100000000;2143;-5;A;America/New_York
BFF;Western Nebraska Regional Airport;41,8740000000000;-103,596000000000;3967;-7;A;America/Denver
BFI;Boeing Fld King Co Intl;47,5300000000000;-122,301947000000;21;-8;A;America/Los_Angeles
BFL;Meadows Fld;35,4335980000000;-119,056770000000;507;-8;A;America/Los_Angeles
BFM;Mobile Downtown;30,6267830000000;-88,068092000000;26;-6;A;America/Chicago
BFP;Beaver Falls;40,7724722000000;-80,391444400000;1253;-5;A;America/New_York
BFT;Beaufort;32,4774110000000;-80,723161000000;37;-5;A;America/New_York
BGE;Decatur County Industrial Air Park;30,9715981000000;-84,636927800000;141;-5;A;America/New_York
BGM;Greater Binghamton Edwin A Link Fld;42,2086890000000;-75,979839000000;1636;-5;A;America/New_York
BGR;Bangor Intl;44,8074440000000;-68,828139000000;192;-5;A;America/New_York
BHB;Hancock County - Bar Harbor;44,4497689000000;-68,361565300000;83;-5;A;America/New_York
BHM;Birmingham Intl;33,5629420000000;-86,753550000000;644;-6;A;America/Chicago
BID;Block Island State Airport;41,1680560000000;-71,577778000000;108;-5;A;America/New_York
BIF;Biggs Aaf;31,8495280000000;-106,380039000000;3948;-7;A;America/Denver
BIG;Allen Aaf;63,9945470000000;-145,721642000000;1291;-9;A;America/Anchorage
BIL;Billings Logan International Airport;45,8092100000000;-108,537654000000;3652;-7;A;America/Denver
BIS;Bismarck Municipal Airport;46,7758420000000;-100,757931000000;1661;-6;A;America/Chicago
BIV;Tulip City Airport;42,7427778000000;-86,107833300000;698;-5;A;America/New_York
BIX;Keesler Afb;30,4104250000000;-88,924433000000;33;-6;A;America/Chicago
BJC;Rocky Mountain Metropolitan Airport;39,9088888800000;-105,117222220000;5670;-7;A;America/Denver
BJI;Bemidji Regional Airport;47,5107220000000;-94,934722000000;1391;-6;A;America/Chicago
BKC;Buckland Airport;65,9816670000000;-161,149167000000;31;-9;A;America/Anchorage
BKD;Stephens Co;32,7190470000000;-98,891000000000;1284;-6;A;America/Chicago
BKF;Buckley Afb;39,7016680000000;-104,751660000000;5662;-7;A;America/Denver
BKG;Branson LLC;36,5319940000000;-93,200556000000;1302;-6;A;America/Chicago
BKH;Barking Sands Pmrf;22,0228330000000;-159,785000000000;23;-10;A;Pacific/Honolulu
BKL;Burke Lakefront Airport;41,5175000000000;-81,683333000000;583;-5;A;America/New_York
BKW;Raleigh County Memorial Airport;37,7873000000000;-81,124200000000;2504;-5;A;America/New_York
BKX;Brookings Regional Airport;44,3048000000000;-96,816900000000;1648;-6;A;America/Chicago
BLD;Boulder City Municipal Airport;35,5651000000000;-114,514000000000;2201;-7;U;America/Phoenix
BLF;Mercer County Airport;37,2958000000000;-81,207700000000;2857;-5;A;America/New_York
BLH;Blythe Airport;33,6191670000000;-114,716889000000;399;-8;A;America/Los_Angeles
BLI;Bellingham Intl;48,7926940000000;-122,537528000000;170;-8;A;America/Los_Angeles
BLV;Scott Afb Midamerica;38,5451780000000;-89,835183000000;459;-6;A;America/Chicago
BMC;Brigham City;41,5520000000000;-112,062000000000;4229;-7;A;America/Denver
BMG;Monroe County Airport;39,1460208000000;-86,616680500000;846;-5;A;America/New_York
BMI;Central Illinois Rgnl;40,4771110000000;-88,915917000000;871;-6;A;America/Chicago
BMT;Beaumont Municipal;30,0702044000000;-94,215096700000;32;-6;A;America/Chicago
BMX;Big Mountain Afs;59,3612470000000;-155,258822000000;663;-9;A;America/Anchorage
BNA;Nashville Intl;36,1244720000000;-86,678194000000;599;-6;A;America/Chicago
BOI;Boise Air Terminal;43,5643610000000;-116,222861000000;2871;-7;A;America/Denver
BOS;General Edward Lawrence Logan Intl;42,3643470000000;-71,005181000000;19;-5;A;America/New_York
BOW;Bartow Municipal Airport;27,9434000000000;-81,783400000000;125;-5;U;America/New_York
BPT;Southeast Texas Rgnl;29,9508330000000;-94,020694000000;15;-6;A;America/Chicago
BQK;Brunswick Golden Isles Airport;31,2588000000000;-81,466500000000;26;-5;A;America/New_York
BRD;Brainerd Lakes Rgnl;46,3983080000000;-94,138078000000;1226;-6;U;America/Chicago
BRL;Southeast Iowa Regional Airport;40,7832000000000;-91,125500000000;698;-6;A;America/Chicago
BRO;Brownsville South Padre Island Intl;25,9068330000000;-97,425861000000;22;-6;A;America/Chicago
BRW;Wiley Post Will Rogers Mem;71,2854460000000;-156,766003000000;44;-9;A;America/Anchorage
BSF;Bradshaw Aaf;19,7600560000000;-155,553717000000;6190;-10;A;Pacific/Honolulu
BTI;Barter Island Lrrs;70,1339890000000;-143,581867000000;2;-9;A;America/Anchorage
BTM;Bert Mooney Airport;45,9548060000000;-112,497472000000;5550;-7;A;America/Denver
BTR;Baton Rouge Metro Ryan Fld;30,5331670000000;-91,149639000000;70;-6;A;America/Chicago
BTT;Bettles;66,9139440000000;-151,529056000000;644;-9;A;America/Anchorage
BTV;Burlington Intl;44,4718610000000;-73,153278000000;335;-5;A;America/New_York
BUF;Buffalo Niagara Intl;42,9405250000000;-78,732167000000;724;-5;A;America/New_York
BUR;Bob Hope;34,2006670000000;-118,358667000000;778;-8;A;America/Los_Angeles
BUU;Municipal Airport;42,6907171000000;-88,304682500000;780;-6;A;America/Chicago
BUY;Burlington-Alamance Regional Airport;36,0485433000000;-79,474889200000;617;-5;A;America/New_York
BVY;Beverly Municipal Airport;42,5841410000000;-70,916144400000;107;-5;A;America/New_York
BWD;KBWD;31,7936111000000;-98,956500000000;1387;-6;A;America/Chicago
BWG;Bowling Green-Warren County Regional Airport;36,9645278000000;-86,419666700000;547;-6;A;America/Chicago
BWI;Baltimore Washington Intl;39,1753610000000;-76,668333000000;146;-5;A;America/New_York
BXK;Buckeye Municipal Airport;33,4204170000000;-112,686180000000;1033;-7;U;America/Phoenix
BXS;Borrego Valley Airport;33,2590278000000;-116,320972200000;520;-8;A;America/Los_Angeles
BYH;Arkansas Intl;35,9643470000000;-89,943956000000;254;-6;A;America/Chicago
BYS;Bicycle Lake Aaf;35,2805310000000;-116,630031000000;2350;-8;A;America/Los_Angeles
BYW;Blakely Island Airport;48,5602500000000;-122,802430000000;0;-8;A;America/Los_Angeles
BZN;Gallatin Field;45,7776430000000;-111,160151000000;4500;-7;A;America/Denver
C02;Grand Geneva Resort Airport;42,6149167000000;-88,389583300000;835;-6;U;America/Chicago
C16;Frasca Field;40,1449790000000;-88,200197000000;735;-6;A;America/Chicago
C47;Portage Municipal Airport;43,5603136000000;-89,482860700000;825;-6;U;America/Chicago
C65;Plymouth Municipal Airport;41,3651307000000;-86,300257400000;800;-5;A;America/New_York
C89;Sylvania Airport;42,7032500000000;-87,958972200000;785;-6;A;America/Chicago
C91;Dowagiac Municipal Airport;41,9929342000000;-86,128012500000;748;-5;U;America/New_York
CAE;Columbia Metropolitan;33,9388330000000;-81,119528000000;236;-5;A;America/New_York
CAK;Akron Canton Regional Airport;40,9160833000000;-81,442194400000;1228;-5;A;America/New_York
CAR;Caribou Muni;46,8715000000000;-68,017917000000;626;-5;A;America/New_York
CBE;Greater Cumberland Rgnl.;39,6152780000000;-78,760556000000;775;-5;A;America/New_York
CBM;Columbus Afb;33,6438330000000;-88,443833000000;219;-6;A;America/Chicago
CCO;Coweta County Airport;33,3115656000000;-84,769755400000;970;-5;A;America/New_York
CCR;Buchanan Field Airport;37,9896667000000;-122,056888900000;26;-8;A;America/Los_Angeles
CDB;Cold Bay;55,2060610000000;-162,725436000000;96;-9;A;America/Anchorage
CDC;Cedar City Rgnl;37,7009670000000;-113,098847000000;5622;-7;A;America/Denver
CDI;Cambridge Municipal Airport;39,9750278000000;-81,577583300000;799;-5;U;America/New_York
CDK;CedarKey;29,1342222000000;-83,050472200000;11;-5;A;America/New_York
CDN;Woodward Field;34,2835833000000;-80,564861100000;302;-5;A;America/New_York
CDR;Chadron Municipal Airport;42,8375000000000;-103,095556000000;3297;-7;A;America/Denver
CDS;Childress Muni;34,4337810000000;-100,287992000000;1954;-6;A;America/Chicago
CDV;Merle K Mudhole Smith;60,4917780000000;-145,477556000000;48;-9;A;America/Anchorage
CDW;Caldwell Essex County Airport;40,8752222000000;-74,281361100000;172;-5;A;America/New_York
CEC;Del Norte County Airport;41,7802000000000;-124,237000000000;57;-8;A;America/Los_Angeles
CEF;Westover Arb Metropolitan;42,1940140000000;-72,534783000000;241;-5;A;America/New_York
CEM;Central Airport;65,5738890000000;-144,780833000000;937;-9;A;America/Anchorage
CEU;Clemson;34,6722222000000;-82,885888900000;891;-5;A;America/New_York
CEW;Bob Sikes;30,7788330000000;-86,522111000000;213;-6;A;America/Chicago
CEZ;Cortez Muni;37,3030000000000;-108,628056000000;5918;-7;A;America/Denver
CFD;Coulter Fld;30,7156940000000;-96,331361000000;367;-6;A;America/Chicago
CGA;Craig Seaplane Base;55,4788890000000;-133,147778000000;0;-9;A;America/Anchorage
CGC;Crystal River;28,8676111000000;-82,574111100000;9;-5;A;America/New_York
CGF;Cuyahoga County;41,5651240000000;-81,486355500000;879;-5;A;America/New_York
CGI;Cape Girardeau Regional Airport;37,2253000000000;-89,570800000000;342;-6;A;America/Chicago
CGX;Meigs Field;41,8602780000000;-87,609722000000;585;-6;A;America/Chicago
CGZ;Casa Grande Municipal Airport;32,9548890000000;-111,766832000000;1464;-7;U;America/Phoenix
CHA;Lovell Fld;35,0352780000000;-85,203808000000;683;-5;A;America/New_York
CHI;All Airports;41,8836110000000;-87,631667000000;596;-6;A;America/Chicago
CHO;Charlottesville-Albemarle;38,1386390000000;-78,452861000000;639;-5;A;America/New_York
CHS;Charleston Afb Intl;32,8986470000000;-80,040528000000;45;-5;A;America/New_York
CHU;Chuathbaluk Airport;61,5791670000000;-159,215556000000;243;-9;A;America/Anchorage
CIC;Chico Muni;39,7953830000000;-121,858422000000;238;-8;A;America/Los_Angeles
CID;Cedar Rapids;41,8846940000000;-91,710806000000;869;-6;A;America/Chicago
CIK;Chalkyitsik Airport;66,6450000000000;-143,740000000000;544;-9;A;America/Anchorage
CIL;Council Airport;64,8977780000000;-163,703333000000;85;-9;A;America/Anchorage
CIU;Chippewa County International Airport;46,2508000000000;-84,472400000000;800;-5;A;America/New_York
CKB;Harrison Marion Regional Airport;39,2966000000000;-80,228100000000;1217;-5;A;America/New_York
CKD;Crooked Creek Airport;61,8677780000000;-158,135000000000;178;-9;A;America/Anchorage
CKF;Crisp County Cordele Airport;31,9888333000000;-83,773916700000;310;-5;A;America/New_York
CKV;Clarksville-Montgomery County Regional Airport;36,6219440000000;-87,415000000000;550;-6;A;America/Chicago
CLC;Clear Lake Metroport;29,5569000000000;-95,137497000000;35;-6;A;America/Chicago
CLD;McClellan-Palomar Airport;33,0742000000000;-117,164800000000;328;-8;A;America/Los_Angeles
CLE;Cleveland Hopkins Intl;41,4116890000000;-81,849794000000;791;-5;A;America/New_York
CLL;Easterwood Fld;30,5885830000000;-96,363833000000;321;-6;A;America/Chicago
CLM;William R Fairchild International Airport;48,1202000000000;-123,500000000000;291;-8;A;America/Los_Angeles
CLS;Chehalis-Centralia;46,4062000000000;-122,589700000000;177;-8;A;America/Los_Angeles
CLT;Charlotte Douglas Intl;35,2140000000000;-80,943139000000;748;-5;A;America/New_York
CLW;Clearwater Air Park;27,9764722000000;-82,758666700000;70;-5;A;America/New_York
CMH;Port Columbus Intl;39,9979720000000;-82,891889000000;815;-5;A;America/New_York
CMI;Champaign;40,0392500000000;-88,278056000000;754;-6;A;America/Chicago
CMX;Houghton County Memorial Airport;47,1684000000000;-88,489100000000;1095;-5;A;America/New_York
CNM;Cavern City Air Terminal;32,3374720000000;-104,263278000000;3295;-7;A;America/Denver
CNW;Tstc Waco;31,6378310000000;-97,074139000000;470;-6;A;America/Chicago
